codigo_uni,nombre,genero,edad,ciclo_academico,condicion_socioeconomica,nombre_carrera,facultad,area_academica,fecha_registro,puntaje_estres,inasistencias_lms,indice_sentimiento,asistencia_cita_flag,nota_promedio
20240200,Rosa Mendoza,F,18,VII,Media,Administracion,Ciencias Empresariales,Negocios,2026-06-21,38,2,0.43,0,18.9
20240201,Andres Morales,M,21,VIII,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-26,28,5,0.69,0,16.9
20240202,Daniela Rojas,F,24,VI,Alta,Derecho,Derecho y Humanidades,Letras,2026-06-07,21,5,0.77,0,14.2
20240203,Pedro Cruz,M,22,II,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-05-09,25,2,0.66,0,18.3
20240204,Martina Nunez,F,24,IX,Baja,Administracion,Ciencias Empresariales,Negocios,2026-06-04,91,30,-0.82,0,11.1
20240205,Rodrigo Mesa,M,23,III,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-06,53,5,0.4,0,18.5
20240206,Maria Antunez,F,22,IV,Baja,Derecho,Derecho y Humanidades,Letras,2026-05-29,39,5,0.59,0,17.0
20240207,Astrid Silva,F,24,II,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-23,75,12,-0.57,1,12.7
20240208,Samantha Caro,F,25,VI,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-03,17,0,0.85,0,17.9
20240209,Samantha Diaz,F,26,III,Baja,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-22,39,1,0.8,0,17.8
20240210,Javier Gomez,M,21,VIII,Baja,Administracion,Ciencias Empresariales,Negocios,2026-05-25,89,19,-0.92,0,10.2
20240211,Jose Mora,M,20,VI,Media,Derecho,Derecho y Humanidades,Letras,2026-05-30,96,28,-0.84,1,9.9
20240212,Sebastian Ismino,M,23,VI,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-22,29,4,0.59,0,18.0
20240213,Astrid Sanchez,F,23,III,Baja,Administracion,Ciencias Empresariales,Negocios,2026-05-27,46,3,0.42,0,16.9
20240214,Ricardo Sanchez,M,26,III,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-09,75,10,-0.66,0,12.3
20240215,Carmen Soto,F,26,IX,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-05-27,36,5,0.84,1,16.9
20240216,Laura Flores,F,22,I,Media,Derecho,Derecho y Humanidades,Letras,2026-06-04,85,9,-0.36,1,13.7
20240217,Marck Cano,M,19,V,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-04,12,5,0.44,0,15.3
20240218,Emilio Herrera,M,21,V,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-05-17,63,9,-0.18,0,11.4
20240219,Samantha Gil,F,23,X,Baja,Administracion,Ciencias Empresariales,Negocios,2026-05-11,60,1,0.81,0,18.8
20240220,Tomas Mora,M,20,VI,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-19,42,5,0.82,0,14.8
20240221,Ana Rojas,F,20,III,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-15,68,12,-0.19,0,12.4
20240222,Jorge Celi,M,24,VII,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-10,59,0,0.4,0,18.5
20240223,Hector Rivas,M,23,X,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-16,50,5,0.7,0,19.1
20240224,Camila Ramirez,F,25,V,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-22,18,4,0.85,0,18.7
20240225,Luis Antunez,M,25,I,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-29,37,1,1.0,0,19.5
20240226,Patricia Rojas,F,19,VI,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-24,51,1,0.05,0,17.8
20240227,Victor Pino,M,19,II,Alta,Derecho,Derecho y Humanidades,Letras,2026-05-31,95,20,-0.84,0,9.0
20240228,Miguel Ismino,M,24,III,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-15,56,0,0.1,0,16.2
20240229,Claudia Herrera,F,20,III,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-09,38,2,0.72,0,17.8
20240230,Catalina Cruz,F,21,II,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-18,97,25,-0.89,0,8.9
20240231,Antonella Castro,F,21,IX,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-19,11,5,0.88,0,15.2
20240232,Daniela Silva,F,18,IV,Media,Administracion,Ciencias Empresariales,Negocios,2026-05-08,81,10,-0.65,0,14.1
20240233,Ricardo Morales,M,20,VII,Baja,Administracion,Ciencias Empresariales,Negocios,2026-05-24,21,3,0.95,1,18.6
20240234,Natalia Ramirez,F,18,I,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-10,59,3,0.42,0,16.4
20240235,Gersson Rojas,M,19,V,Alta,Derecho,Derecho y Humanidades,Letras,2026-06-21,71,9,-0.34,0,13.7
20240236,Camila Tello,F,21,I,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-29,39,4,0.61,0,15.9
20240237,Marck Perez,M,20,I,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-06-30,77,12,-0.2,1,11.9
20240238,Laura Rojas,F,19,I,Media,Administracion,Ciencias Empresariales,Negocios,2026-05-18,26,5,0.98,0,17.8
20240239,Luis Rivas,M,20,VI,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-19,95,16,-0.93,0,9.3
20240240,Juan Diaz,M,18,VIII,Media,Administracion,Ciencias Empresariales,Negocios,2026-06-28,62,10,-0.22,1,13.5
20240241,Silvia Paz,F,23,V,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-08,13,1,0.22,1,17.1
20240242,Juliana Leon,F,22,V,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-05,33,1,0.29,0,18.7
20240243,Brenda Gil,F,25,IV,Baja,Derecho,Derecho y Humanidades,Letras,2026-05-10,92,13,-0.93,0,8.6
20240244,Juan Herrera,M,24,V,Alta,Derecho,Derecho y Humanidades,Letras,2026-06-03,36,3,0.96,0,19.8
20240245,Ana Flores,F,26,VII,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-30,15,4,0.1,0,14.8
20240246,Ximena Torres,F,24,III,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-17,35,5,0.83,0,16.0
20240247,Carmen Inofuente,F,19,III,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-29,36,0,0.54,0,19.8
20240248,Natalia Ismino,F,19,III,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-22,48,0,0.22,0,19.1
20240249,Hugo Luna,M,26,I,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-17,21,0,0.95,0,19.1
20240250,Marck Leon,M,19,III,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-04,24,1,0.2,0,16.4
20240251,Carlos Gil,M,22,II,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-13,38,1,0.09,0,19.1
20240252,Valeria Torres,F,20,X,Media,Administracion,Ciencias Empresariales,Negocios,2026-06-01,96,26,-0.95,0,8.0
20240253,Valeria Vasquez,F,18,X,Baja,Derecho,Derecho y Humanidades,Letras,2026-06-11,74,10,-0.41,1,11.3
20240254,Carmen Pino,F,26,IV,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-25,32,3,0.54,0,16.9
20240255,Javier Rojas,M,20,I,Media,Derecho,Derecho y Humanidades,Letras,2026-05-02,59,2,0.06,0,19.9
20240256,Diego Vargas,M,19,IV,Baja,Derecho,Derecho y Humanidades,Letras,2026-05-18,60,5,0.06,0,20.0
20240257,Jose Soto,M,23,III,Alta,Derecho,Derecho y Humanidades,Letras,2026-06-07,84,11,-0.48,1,13.1
20240258,Sebastian Vasquez,M,21,VIII,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-12,15,0,0.23,0,15.3
20240259,Valeria Rey,F,21,III,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-28,30,0,0.02,0,17.5
20240260,Angel Vera,M,23,II,Media,Administracion,Ciencias Empresariales,Negocios,2026-06-07,90,23,-0.96,1,7.7
20240261,Mateo Pino,M,23,III,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-15,21,3,0.31,0,18.1
20240262,Gonzalo Cano,M,24,X,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-08,80,7,-0.31,1,11.4
20240263,Samantha Lopez,F,21,VI,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-10,15,5,0.67,0,18.4
20240264,Carmen Diaz,F,19,VI,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-16,92,27,-0.78,1,11.4
20240265,Daniela Rios,F,26,VII,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-06-20,51,5,0.23,0,16.7
20240266,Maria Morales,F,22,II,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-11,20,5,0.08,0,19.7
20240267,Martina Nunez,F,18,VII,Baja,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-08,20,0,0.1,0,15.2
20240268,Nicolas Tello,M,26,V,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-20,62,9,-0.35,0,13.9
20240269,Maria Vega,F,19,V,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-05-13,89,18,-0.81,1,11.4
20240270,Andres Luna,M,25,VIII,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-06,34,1,0.37,0,16.3
20240271,Valeria Leon,F,22,IV,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-10,52,0,0.09,0,16.1
20240272,Sebastian Flores,M,26,I,Media,Administracion,Ciencias Empresariales,Negocios,2026-06-04,40,4,0.88,1,16.9
20240273,Gonzalo Ruiz,M,26,X,Baja,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-08,38,1,0.95,0,15.0
20240274,Ana Vega,F,19,VII,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-23,30,5,0.91,0,14.4
20240275,Monica Rojas,F,26,VIII,Alta,Administracion,Ciencias Empresariales,Negocios,2026-05-08,19,4,0.59,0,18.6
20240276,Sebastian Medina,M,19,V,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-26,34,5,0.49,1,17.7
20240277,Rosa Rey,F,24,I,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-14,84,9,-0.15,0,14.1
20240278,Paula Mendoza,F,22,V,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-25,70,11,-0.43,1,13.9
20240279,Tomas Pino,M,19,IV,Media,Derecho,Derecho y Humanidades,Letras,2026-06-28,57,3,0.76,0,19.2
20240280,Gianpierre Lopez,M,22,IX,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-19,46,0,0.17,0,19.3
20240281,Ana Leon,F,18,VI,Baja,Derecho,Derecho y Humanidades,Letras,2026-05-18,39,4,0.4,0,19.5
20240282,Isabella Alba,F,25,III,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-23,69,11,-0.2,0,11.3
20240283,Lucia Cano,F,21,IV,Baja,Derecho,Derecho y Humanidades,Letras,2026-06-13,81,9,-0.39,0,14.0
20240284,Rosa Pino,F,20,X,Alta,Derecho,Derecho y Humanidades,Letras,2026-05-17,29,5,0.97,0,17.9
20240285,Brenda Leon,F,22,IV,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-13,49,3,0.58,0,14.0
20240286,Miguel Ortiz,M,26,X,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-20,40,0,0.34,0,15.7
20240287,Antonella Muro,F,22,IV,Alta,Derecho,Derecho y Humanidades,Letras,2026-06-27,99,25,-0.8,0,10.1
20240288,Andres Chavez,M,24,VII,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-07,46,1,0.34,0,18.3
20240289,Mateo Mesa,M,23,IX,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-06-23,45,1,0.29,0,16.8
20240290,Felipe Herrera,M,20,VI,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-15,57,2,0.42,0,19.3
20240291,Hector Ismino,M,25,I,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-31,42,0,0.87,0,16.3
20240292,Patricia Vasquez,F,20,IV,Media,Administracion,Ciencias Empresariales,Negocios,2026-06-06,39,1,0.32,0,18.3
20240293,Antonella Sanchez,F,23,I,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-05-18,85,7,-0.35,0,11.6
20240294,Camila Celi,F,24,VII,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-05-25,94,19,-0.78,1,11.3
20240295,Simon Fernandez,M,18,I,Baja,Derecho,Derecho y Humanidades,Letras,2026-05-15,32,2,0.13,0,16.3
20240296,Claudia Ruiz,F,22,V,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-28,18,2,1.0,0,16.9
20240297,Valeria Luna,F,18,IV,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-14,47,4,0.17,0,16.2
20240298,Juliana Celi,F,22,IX,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-08,52,0,0.65,0,14.1
20240299,Daniela Ismino,F,26,V,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-14,50,0,0.3,0,18.0
20240300,Martina Caro,F,20,VII,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-19,87,28,-0.94,1,7.9
20240301,Pedro Rios,M,24,V,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-05,23,5,0.93,1,16.0
20240302,Ricardo Ismino,M,25,III,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-16,26,5,0.23,0,19.9
20240303,Astrid Sanchez,F,18,V,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-28,16,0,0.01,0,14.8
20240304,Juliana Cruz,F,22,II,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-12,92,27,-0.92,1,8.7
20240305,Emilio Vargas,M,19,III,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-30,16,3,0.91,0,16.9
20240306,Martina Soto,F,23,X,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-31,17,3,0.44,0,14.4
20240307,Patricia Solis,F,26,X,Baja,Derecho,Derecho y Humanidades,Letras,2026-06-12,43,4,0.69,0,17.7
20240308,Mateo Rios,M,24,III,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-01,20,4,0.85,0,19.1
20240309,Isabella Morales,F,21,VI,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-02,81,9,-0.45,1,11.8
20240310,Ximena Cruz,F,19,VIII,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-08,57,5,0.02,1,16.4
20240311,Miguel Castro,M,22,IX,Baja,Derecho,Derecho y Humanidades,Letras,2026-06-11,31,2,0.83,0,18.9
20240312,Laura Rey,F,25,VI,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-05-08,96,20,-1.0,1,8.6
20240313,Hugo Caro,M,19,I,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-05-09,57,5,0.41,0,15.5
20240314,Patricia Luna,F,21,VIII,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-07,12,5,0.84,0,17.5
20240315,Catalina Gil,F,26,III,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-03,45,3,0.84,0,16.9
20240316,Gianpierre Caro,M,20,III,Alta,Administracion,Ciencias Empresariales,Negocios,2026-06-12,30,4,0.88,0,16.5
20240317,Diego Rojas,M,24,VI,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-06-21,92,29,-0.91,1,10.2
20240318,Ricardo Arce,M,21,IV,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-13,82,7,-0.11,0,13.3
20240319,Gonzalo Celi,M,23,II,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-06-07,52,5,0.42,0,18.5
20240320,Patricia Vega,F,18,IX,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-25,96,14,-0.94,0,10.4
20240321,Rodrigo Chavez,M,20,I,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-14,12,2,0.81,0,14.6
20240322,Angel Flores,M,26,VII,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-14,34,3,0.42,0,18.7
20240323,Luis Perez,M,22,IV,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-06-23,81,11,-0.27,0,12.3
20240324,Pedro Silva,M,25,III,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-12,57,4,0.12,0,14.2
20240325,Lucia Gil,F,22,I,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-06-15,12,1,0.93,0,17.6
20240326,Miguel Mesa,M,22,VIII,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-05,30,4,0.22,1,15.1
20240327,Victor Mora,M,26,VII,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-15,52,2,0.33,0,15.8
20240328,Mateo Arce,M,18,II,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-29,81,10,-0.15,0,11.9
20240329,Raul Soto,M,19,VII,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-02,59,2,0.51,0,17.1
20240330,Antonella Fernandez,F,23,IX,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-11,59,4,0.53,0,17.8
20240331,Pedro Solis,M,24,II,Alta,Administracion,Ciencias Empresariales,Negocios,2026-06-11,14,5,0.69,0,14.1
20240332,Elena Torres,F,20,V,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-06,26,3,0.39,0,17.8
20240333,Catalina Ismino,F,26,I,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-18,12,5,0.85,0,16.1
20240334,Catalina Mendoza,F,19,V,Media,Administracion,Ciencias Empresariales,Negocios,2026-05-26,11,3,0.16,0,15.3
20240335,Angel Mora,M,22,III,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-30,99,30,-0.96,1,7.2
20240336,Carlos Mendoza,M,21,VI,Alta,Administracion,Ciencias Empresariales,Negocios,2026-06-27,42,1,0.16,0,15.3
20240337,Lucia Mesa,F,18,IX,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-19,26,0,0.2,0,17.5
20240338,Catalina Pino,F,21,II,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-27,76,9,-0.5,0,13.3
20240339,Hugo Morales,M,24,III,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-16,55,5,0.64,0,15.7
20240340,Raul Nunez,M,25,VIII,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-01,21,5,0.61,0,19.1
20240341,Gabriela Fernandez,F,22,II,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-27,94,13,-0.76,0,9.6
20240342,Felipe Chavez,M,26,IX,Media,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-24,59,4,0.73,0,15.7
20240343,Javier Ortiz,M,26,I,Baja,Derecho,Derecho y Humanidades,Letras,2026-06-24,49,5,0.17,0,17.1
20240344,Ximena Mesa,F,20,VIII,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-15,24,0,0.26,0,15.4
20240345,Jose Ortiz,M,24,VIII,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-03,30,0,0.7,0,17.1
20240346,Jorge Gil,M,26,X,Alta,Administracion,Ciencias Empresariales,Negocios,2026-06-11,47,5,0.9,0,14.5
20240347,Diego Vera,M,24,VI,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-06-20,48,0,0.5,0,14.8
20240348,Antonella Rojas,F,21,III,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-24,17,5,0.23,0,18.9
20240349,Isabella Nunez,F,21,X,Alta,Administracion,Ciencias Empresariales,Negocios,2026-05-02,65,10,-0.34,0,11.5
20240350,Gersson Torres,M,20,V,Alta,Administracion,Ciencias Empresariales,Negocios,2026-06-08,50,0,0.88,0,18.4
20240351,Pedro Cruz,M,25,VIII,Alta,Derecho,Derecho y Humanidades,Letras,2026-06-23,19,4,0.82,0,15.1
20240352,Samantha Solis,F,23,VIII,Baja,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-05-15,18,0,0.02,0,17.1
20240353,Miguel Vasquez,M,19,III,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-26,42,0,0.09,0,18.0
20240354,Juan Medina,M,24,IX,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-25,94,26,-0.93,1,10.6
20240355,Paula Frias,F,19,VII,Alta,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-31,15,2,0.6,0,17.3
20240356,Samantha Perez,F,26,II,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-25,54,2,0.41,0,14.6
20240357,Jorge Mora,M,24,X,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-13,23,3,0.55,0,17.3
20240358,Mateo Chavez,M,22,X,Media,Administracion,Ciencias Empresariales,Negocios,2026-06-17,99,16,-0.78,0,9.0
20240359,Andrea Luna,F,23,IX,Baja,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-11,50,0,0.8,0,18.9
20240360,Carlos Lopez,M,22,IV,Media,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-08,92,25,-0.82,0,9.3
20240361,Miguel Sanchez,M,25,VIII,Alta,Derecho,Derecho y Humanidades,Letras,2026-06-24,43,2,0.19,0,18.7
20240362,Tomas Vargas,M,18,VI,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-11,90,25,-0.89,0,8.8
20240363,Nicolas Muro,M,19,II,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-06-16,47,2,0.35,0,18.9
20240364,Hector Luna,M,18,V,Alta,Administracion,Ciencias Empresariales,Negocios,2026-06-02,87,29,-0.91,1,11.3
20240365,Miguel Cano,M,22,VIII,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-06-19,71,12,-0.42,0,12.6
20240366,Natalia Lopez,F,24,IV,Baja,Derecho,Derecho y Humanidades,Letras,2026-06-21,72,10,-0.37,1,13.5
20240367,Elena Luna,F,23,II,Baja,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-31,67,10,-0.53,0,14.3
20240368,Carmen Diaz,F,21,V,Alta,Derecho,Derecho y Humanidades,Letras,2026-05-13,49,2,0.16,0,14.6
20240369,Rodrigo Rivas,M,18,IX,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-05-24,41,4,0.87,0,16.9
20240370,Jorge Luna,M,21,X,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-03,40,4,0.03,0,16.1
20240371,Hector Ismino,M,26,VIII,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-01,34,4,0.1,0,16.2
20240372,Natalia Diaz,F,22,VIII,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-24,74,7,-0.44,1,13.6
20240373,Jorge Cruz,M,20,X,Alta,Derecho,Derecho y Humanidades,Letras,2026-06-22,90,20,-0.83,0,10.9
20240374,Samantha Vasquez,F,25,I,Alta,Administracion,Ciencias Empresariales,Negocios,2026-06-01,100,29,-0.84,1,8.4
20240375,Gabriela Cano,F,18,VII,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-04,69,9,-0.2,1,11.3
20240376,Brenda Arce,F,26,V,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-27,99,19,-0.83,0,9.9
20240377,Andres Rios,M,23,IX,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-06-26,95,22,-0.86,0,11.3
20240378,Ricardo Aguilar,M,24,X,Baja,Administracion,Ciencias Empresariales,Negocios,2026-06-24,15,1,0.34,0,15.9
20240379,Tomas Pino,M,24,V,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-17,38,3,0.17,0,19.1
20240380,Natalia Frias,F,19,IV,Alta,Administracion,Ciencias Empresariales,Negocios,2026-05-07,100,28,-0.84,1,7.1
20240381,Carlos Antunez,M,22,X,Alta,Ingenieria Civil,Ingenieria,Ciencias Exactas,2026-06-11,34,2,0.23,0,18.4
20240382,Andrea Vargas,F,18,I,Baja,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-25,40,3,0.97,0,17.2
20240383,Diana Mora,F,20,X,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-06-10,46,3,0.52,0,17.8
20240384,Gabriela Flores,F,19,VIII,Media,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-05-27,70,6,-0.69,0,13.9
20240385,Isabella Mora,F,18,VIII,Media,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-01,28,4,0.23,0,14.0
20240386,Gabriela Vega,F,24,IV,Alta,Administracion,Ciencias Empresariales,Negocios,2026-06-23,26,0,0.42,0,15.4
20240387,Jose Caro,M,22,V,Baja,Psicologia,Ciencias de la Salud,Ciencias Medicas,2026-05-27,63,7,-0.61,1,11.4
20240388,Jorge Caro,M,25,IV,Media,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-10,94,13,-0.94,1,7.5
20240389,Valeria Tello,F,18,IV,Alta,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-01,31,3,0.31,0,18.8
20240390,Paula Ruiz,F,23,II,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-05-18,14,4,0.47,0,15.2
20240391,Miguel Perez,M,19,IV,Media,Contabilidad,Ciencias Empresariales,Negocios,2026-05-16,12,1,0.46,0,18.6
20240392,Mateo Soto,M,22,VI,Alta,Ingenieria de Sistemas,Ingenieria,Ciencias Exactas,2026-06-17,43,0,0.25,0,17.8
20240393,Angel Mesa,M,21,II,Alta,Administracion,Ciencias Empresariales,Negocios,2026-05-21,98,21,-0.82,0,8.8
20240394,Ana Gil,F,25,X,Alta,Medicina,Ciencias de la Salud,Ciencias Medicas,2026-06-19,88,28,-0.97,0,9.8
20240395,Antonella Vasquez,F,26,II,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-05-15,78,12,-0.31,1,12.2
20240396,Juan Caro,M,24,VI,Baja,Arquitectura,Ingenieria,Ciencias Exactas,2026-05-17,41,5,0.44,0,15.8
20240397,Lucia Mora,F,23,VI,Baja,Contabilidad,Ciencias Empresariales,Negocios,2026-05-18,48,4,0.16,0,17.2
20240398,Felipe Ortiz,M,25,I,Baja,Administracion,Ciencias Empresariales,Negocios,2026-06-16,61,10,-0.18,0,13.7
20240399,Elena Mesa,F,26,VII,Alta,Contabilidad,Ciencias Empresariales,Negocios,2026-06-19,49,2,0.32,0,17.8
20240400,Carlos Ruiz,M,20,III,Alta,Derecho,Derecho y Humanidades,Letras,2026-05-07,16,0,0.57,0,19.0
20240401,Gonzalo Gil,M,22,I,Media,Derecho,Derecho y Humanidades,Letras,2026-06-08,10,1,0.66,0,19.6
